indice_medio,shannon_medio,shannon_condicional_medio,n
-0.8236085878870827,2.0061092033446446,2.136221291160755,516
-0.6580300392713692,2.182617706319882,2.119260204068337,514
-0.5406068852231622,2.10976541808276,2.1234053636606443,516
-0.43407540570444153,2.1908657263374516,2.134612718589345,513
-0.3252196225724026,2.1681940015092884,2.1368940696154306,515
-0.19176829050176447,2.138514783096033,2.1521952110978764,517
-0.05428300002940472,2.1380042110858453,2.1304463035698444,527
0.08931961221038315,2.0856796960674884,2.1130927168080866,500
0.26823797968222995,2.1493629084030057,2.1075915201315265,515
0.4753349079317585,2.0812521385668497,2.079316252539621,516
0.7394439906507728,2.1208726416942274,2.065341267470457,515
1.4614667839435198,1.9752330536327958,2.048541478369941,514
