,count,mean,std,min,25%,50%,75%,max
PM2.5,29414.0,16.324767117699054,12.043632140766578,0.0,7.0,14.0,23.0,120.0
PM10,28386.0,31.409624462763333,21.777144022633408,0.1,15.9,26.3,42.0,241.0
NO2,24417.0,16.000790432895116,9.66103252371807,0.0,8.6,14.8,21.6,99.4
CO,25219.0,0.6548836194932393,0.4460552477663792,0.0,0.34,0.53,0.84,5.98
O3,23072.0,11.748491678224688,11.5662826054038,0.0,2.2,8.2,18.1,95.3
Temperatura,26023.0,14.791795719171503,3.684446233399017,3.2,12.1,14.2,17.7,27.3
Humedad,20511.0,67.60727902101311,15.523972470657439,11.0,55.6,70.0,81.0,100.0
Viento,24780.0,1.4153874092009686,1.079693865224528,0.0,0.6,1.1,1.9,7.9
Precipitacion,29416.0,0.0447817514277944,0.4577784117261702,0.0,0.0,0.0,0.0,18.6
Radiacion_Solar,14769.0,198.85841966280722,216.76085894969762,0.0,12.0,118.0,332.0,1169.0
Lluvia,29416.0,0.053678270329072617,0.22538553753214796,0.0,0.0,0.0,0.0,1.0
DURATION MINUTES,33302.0,93.52303164975076,95.25209776328391,1.0,22.0,61.0,138.0,1440.0
EFFORT DISTANCE KM,24302.0,1.8185048967163195,2.710700479313903,0.0,0.5,1.127,2.1,54.228
Shannon_Index,33308.0,1.9656384637087945,0.7557116705740575,-0.0,1.4992384531533163,2.042280201722753,2.54281164935231,3.9120230054281455
Riqueza_Especies,33308.0,13.345592650414314,9.281089160043113,1.0,6.0,11.0,19.0,65.0
