component,eigenvalue,explained_variance_ratio,cumulative_variance_ratio
PC1,4.12883029836849,0.4586846651743131,0.4586846651743131
PC2,2.477130457466663,0.275192166392784,0.7338768315670972
PC3,0.6515504372140593,0.07238277491225574,0.8062596064793529
PC4,0.6039013327690042,0.0670892869413715,0.8733488934207244
PC5,0.330079818142836,0.03666959887536955,0.910018492296094
PC6,0.30787293908231583,0.0342025672585782,0.9442210595546722
PC7,0.2005066947123897,0.02227491552890959,0.9664959750835818
PC8,0.17278273911061448,0.01919497463196046,0.9856909497155422
PC9,0.12880230110351737,0.014309050284457874,1.0
