,count,mean,std,min,25%,50%,75%,max,missing_n,missing_pct,skew,kurtosis
Shannon_Index,6178.0,2.1122917199090026,0.6625096822007871,-0.0,1.7143328169663297,2.2140766695216625,2.6032029609840435,3.5868617270726575,0,0.0,-0.7598365433749693,0.5584458887477948
Riqueza_Especies,6178.0,14.808028488183878,8.668431612421614,1.0,8.0,14.0,20.0,55.0,0,0.0,0.8470440543176885,0.6864543019954139
Distance_to_Station_km,6178.0,1.861625463378213,0.9315585144907116,0.09617809946248934,1.0888492362098994,1.9217572273695953,2.2555875391816924,4.965587459005807,0,0.0,0.9449191226233127,0.6062426324324455
PM2.5,6178.0,14.681709291032698,10.971510733808564,0.0,6.0,12.0,20.0,89.0,0,0.0,1.227168648764976,1.733847607702021
PM10,6178.0,28.192165749433475,17.39943263214975,1.1,15.5,24.6,38.0,140.0,0,0.0,1.135699481658939,1.8159170813324907
NO2,6178.0,14.167270961476206,8.329912804766847,0.0,8.0,13.3,18.6,62.3,0,0.0,1.00791348267632,1.9095474854776393
CO,6178.0,0.5822045969569439,0.40235472792380184,0.0,0.29,0.49,0.76,3.29,0,0.0,1.6024071111102751,3.6369701290834406
O3,6178.0,11.463434768533507,12.017582027632317,0.0,1.7,7.1,18.5,95.3,0,0.0,1.4229329929118488,2.428049698793833
Temperatura,6178.0,14.64786338620913,4.028363836723241,3.2,11.6,14.5,17.8,26.7,0,0.0,0.03214536595604734,-0.623781744687204
Humedad,6178.0,69.00584331498867,16.157228221668447,12.0,56.0,72.0,84.0,100.0,0,0.0,-0.46630820614528357,-0.8133680873276048
Viento,6178.0,1.2828585302686955,0.9072473403097875,0.0,0.6,1.1,1.8,5.3,0,0.0,1.1555053486354487,1.2724678665774034
Lluvia,6178.0,0.054872126901910005,0.22774892413132128,0.0,0.0,0.0,0.0,1.0,0,0.0,3.910200870750478,13.29397439487834
Radiacion_Solar,6178.0,204.6638070573001,219.60369279413933,0.0,9.0,128.0,337.0,1074.0,0,0.0,1.069532938276106,0.3709729412487026
Precipitacion,6178.0,0.028892845581094204,0.25480730944138696,0.0,0.0,0.0,0.0,10.4,0,0.0,19.828267708205686,577.6260710509969
