variable,Alta_Q3,Baja_Q1,Alta_menos_Baja
Temperatura,-0.4369569957623329,0.5354668718796213,-0.9724238676419541
O3,-0.3535043265154711,0.48424506892468155,-0.8377493954401527
Viento,-0.3364162833513527,0.43398471251648785,-0.7704009958678406
Radiacion_Solar,-0.36261769072335476,0.3880259286516526,-0.7506436193750073
PM10,0.038170095371825384,0.07462605228880585,-0.03645595691698047
PM2.5,0.04221458207679519,0.01551394935580529,0.026700632720989898
CO,0.08606274193582093,-0.14164268721176138,0.2277054291475823
NO2,0.13226292865106162,-0.10300685035314659,0.2352697790042082
Humedad,0.39986803722441017,-0.4813200760459416,0.8811881132703518
