term,coef,std_err,t,p_value,ci_low,ci_high,robust_hc3_std_err,robust_hc3_t,robust_hc3_p_value,robust_hc3_ci_low,robust_hc3_ci_high,variable,abs_coef
const,2.2023709358319326,0.00693654942836418,317.5023775980371,0.0,2.188772434474164,2.215969437189701,0.0069506427481216895,316.85860080020535,0.0,2.188744805747542,2.2159970659163233,const,2.2023709358319326
z_reg_PM2.5,0.04110916191654047,0.012493799914234409,3.2903649969377264,0.0010071340241155035,0.016616154715772918,0.06560216911730801,0.012730748814759638,3.2291236371641996,0.001249294572912987,0.016151637021667196,0.06606668681141374,PM2.5,0.04110916191654047
z_reg_PM10,-0.020716102391945594,0.012644053939812624,-1.6384066764154117,0.10139641347812818,-0.04550366953089806,0.00407146474700687,0.013189515970527704,-1.5706491760756218,0.11632402365861548,-0.046573000362011216,0.005140795578120024,PM10,0.020716102391945594
z_reg_NO2,-0.023386436733115416,0.010017813837426922,-2.33448505957885,0.019607601663729195,-0.04302548875414995,-0.0037473847120808763,0.010507878464046728,-2.225609747308495,0.026082360442782303,-0.043986217796638055,-0.0027866556695927726,NO2,0.023386436733115416
z_reg_CO,-0.029308080275025853,0.010143273880464987,-2.889410324557096,0.003875352344697743,-0.04919308578968397,-0.009423074760367734,0.010547703182498825,-2.7786220154218033,0.005478277800804936,-0.04998593423250483,-0.008630226317546872,CO,0.029308080275025853
z_reg_O3,-0.03156567609750863,0.012515470752043331,-2.5221325448229805,0.011693712272653489,-0.05610116708944814,-0.007030185105569114,0.013801207923210303,-2.2871676358431476,0.022225385166261623,-0.058621742895677294,-0.00450960929933996,O3,0.03156567609750863
z_reg_Temperatura,-0.08002193810410646,0.015165700334274305,-5.276507931734469,1.369231077432051e-07,-0.1097529735010204,-0.05029090270719253,0.015135770402117782,-5.286941858797612,1.2938027431513628e-07,-0.10969429847429829,-0.05034957773391463,Temperatura,0.08002193810410646
z_reg_Humedad,0.08923518786151909,0.01600044843790681,5.577042931503794,2.5679400524457218e-08,0.05786770146863522,0.12060267425440295,0.016240570888868922,5.494584425149718,4.0997015352765083e-08,0.0573969623051418,0.12107341341789638,Humedad,0.08923518786151909
z_reg_Viento,-0.0497353874158227,0.008866947532995455,-5.60907654305483,2.137457395149622e-08,-0.06711826622493912,-0.032352508606706284,0.009029345933658724,-5.508193813953226,3.796773888212216e-08,-0.0674366341533631,-0.03203414067828231,Viento,0.0497353874158227
z_reg_Lluvia,-0.02523513165024021,0.00709183028176631,-3.558338348158422,0.000376484398625867,-0.0391380476045788,-0.011332215695901624,0.0072130085494604744,-3.498558400035138,0.0004716343565623941,-0.039375607050350626,-0.011094656250129791,Lluvia,0.02523513165024021
z_reg_Radiacion_Solar,0.027313704382319552,0.012890701122746217,2.1188687971458204,0.03414807666066107,0.0020426069107931898,0.05258480185384591,0.01300989746676078,2.0994557760431105,0.03582404583246192,0.0018089328538773534,0.05281847591076175,Radiacion_Solar,0.027313704382319552
z_reg_DURATION MINUTES,0.22543906489170876,0.007612751331004909,29.613349377845765,1.9024586774739e-178,0.21051492856425566,0.24036320121916185,0.01389682689395103,16.222341014396402,8.561372012208667e-58,0.19819554542461953,0.252682584358798,Duracion,0.22543906489170876
z_reg_EFFORT DISTANCE KM,-0.05728885574044219,0.0072910957868254425,-7.857372528826133,4.718398389855159e-15,-0.07158241437225134,-0.042995297108633056,0.011499283088009042,-4.981950205241973,6.495167970504782e-07,-0.07983219927177079,-0.0347455122091136,Distancia,0.05728885574044219
